fecha hora var lev value
2023-03-24 00:00:00 temp 750 286.1398
2023-03-24 00:00:00 temp 700 283.3773
2023-03-24 00:00:00 temp 650 280.409
2023-03-24 00:00:00 temp 600 277.1378
2023-03-24 00:00:00 temp 550 273.3823
2023-03-24 00:00:00 temp 500 268.8925
2023-03-24 00:00:00 temp 450 263.3752
2023-03-24 00:00:00 temp 400 257.7591
2023-03-24 00:00:00 temp 350 251.2231
2023-03-24 00:00:00 temp 300 243.015
2023-03-24 00:00:00 temp 250 232.4316
2023-03-24 00:00:00 temp 200 219.0899
2023-03-24 00:00:00 temp 150 203.3835
2023-03-24 00:00:00 temp 100 193.2208
2023-03-24 00:00:00 temp 50 204.7768
2023-03-24 01:00:00 temp 1020 289.562
2023-03-24 01:00:00 temp 1000 288.6827
2023-03-24 01:00:00 temp 950 298.6745
2023-03-24 01:00:00 temp 925 296.7292
2023-03-24 01:00:00 temp 900 294.5114
2023-03-24 01:00:00 temp 850 291.2426
2023-03-24 01:00:00 temp 800 288.2019
2023-03-24 01:00:00 temp 750 286.0288
2023-03-24 01:00:00 temp 700 283.3745
2023-03-24 01:00:00 temp 650 280.3502
2023-03-24 01:00:00 temp 600 277.069
2023-03-24 01:00:00 temp 550 273.3281
2023-03-24 01:00:00 temp 500 268.7846
2023-03-24 01:00:00 temp 450 263.4451
2023-03-24 01:00:00 temp 400 257.7316
2023-03-24 01:00:00 temp 350 251.1424
2023-03-24 01:00:00 temp 300 242.8892
2023-03-24 01:00:00 temp 250 232.2309
2023-03-24 01:00:00 temp 200 218.9078
2023-03-24 01:00:00 temp 150 203.1619
2023-03-24 01:00:00 temp 100 193.5142
2023-03-24 01:00:00 temp 50 205.2343
2023-03-24 02:00:00 temp 1020 289.494
2023-03-24 02:00:00 temp 1000 288.6254
2023-03-24 02:00:00 temp 950 298.0475
2023-03-24 02:00:00 temp 925 295.9139
2023-03-24 02:00:00 temp 900 293.8856
2023-03-24 02:00:00 temp 850 291.4225
2023-03-24 02:00:00 temp 800 288.236
2023-03-24 02:00:00 temp 750 285.9611
2023-03-24 02:00:00 temp 700 283.359
2023-03-24 02:00:00 temp 650 280.083
2023-03-24 02:00:00 temp 600 276.8293
2023-03-24 02:00:00 temp 550 273.1219
2023-03-24 02:00:00 temp 500 268.3928
2023-03-24 02:00:00 temp 450 263.1067
2023-03-24 02:00:00 temp 400 257.6746
2023-03-24 02:00:00 temp 350 251.1085
2023-03-24 02:00:00 temp 300 242.8065
2023-03-24 02:00:00 temp 250 232.1502
2023-03-24 02:00:00 temp 200 218.8067
2023-03-24 02:00:00 temp 150 202.9666
2023-03-24 02:00:00 temp 100 193.9719
2023-03-24 02:00:00 temp 50 205.7012
2023-03-24 03:00:00 temp 1020 289.4488
2023-03-24 03:00:00 temp 1000 288.5665
2023-03-24 03:00:00 temp 950 297.6638
